team,season,name,team.1,position,situation,games_played,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
ARI,2022,ARI,ARI,Team Level,all,80,0.42,0.43,0.42,292230.0,2095.19,216.97,147.97,473.56,68.06,1151.85,828.59,206.56,215.39,205.03,2070.0,817.0,971.0,3858.0,220.0,185.0,27.0,413.0,48.0,948.0,1073.0,1850.0,2667.0,347.0,788.0,2079.0,2043.0,478.0,770.0,2032.0,625.0,230.0,61.75,76.27,78.95,68.0,77.0,75.0,3795.4,2887.0,2855.72,424.0,32.61,38.19,38.19,211.39,209.78,203.2,2839.85,304.9,205.5,646.87,93.43,1568.5,1102.8,288.32,308.01,291.29,2814.0,1108.0,1197.0,5119.0,286.0,260.0,44.0,584.0,90.0,1379.0,1323.0,2528.0,3636.0,281.0,654.0,2461.0,1801.0,531.0,633.0,2733.0,884.0,305.0,84.24,110.44,110.23,93.0,104.0,89.0,5209.85,3922.0,3974.56,285.0,46.47,54.56,54.62,296.75,299.7,288.8
ARI,2022,ARI,ARI,Team Level,5on5,80,0.45,0.45,0.45,231102.0,1658.0,148.64,112.08,392.25,54.02,912.45,668.55,143.75,147.07,142.21,1621.0,667.0,788.0,3076.0,146.0,141.0,22.0,341.0,40.0,749.0,871.0,1475.0,2142.0,311.0,716.0,1589.0,1897.0,393.0,642.0,1666.0,482.0,140.0,50.85,58.73,39.07,57.0,56.0,33.0,3013.4,2288.0,2256.71,373.0,23.2,28.99,29.27,142.58,140.97,138.52,2060.17,185.01,139.68,493.28,67.36,1128.28,833.39,178.33,188.13,181.3,2055.0,792.0,912.0,3759.0,178.0,175.0,28.0,462.0,71.0,970.0,991.0,1877.0,2669.0,256.0,604.0,1836.0,1671.0,441.0,543.0,2048.0,641.0,158.0,63.26,79.86,41.89,74.0,72.0,32.0,3849.85,2847.0,2899.56,263.0,29.03,34.02,34.07,179.97,182.92,179.38
ARI,2022,ARI,ARI,Team Level,4on5,80,0.08,0.08,0.09,29645.0,53.95,6.22,2.85,7.84,1.65,16.55,36.88,6.11,6.22,6.11,62.0,10.0,8.0,80.0,5.0,4.0,0.0,1.0,0.0,9.0,53.0,57.0,67.0,11.0,24.0,218.0,86.0,54.0,41.0,42.0,20.0,10.0,1.26,2.33,2.62,1.0,3.0,1.0,80.0,72.0,72.0,37.0,0.64,1.15,1.15,5.72,5.72,5.67,544.89,71.08,49.05,115.0,18.38,327.65,171.84,64.61,71.08,64.61,527.0,226.0,211.0,964.0,75.0,63.0,9.0,91.0,14.0,311.0,199.0,452.0,678.0,16.0,32.0,319.0,37.0,21.0,56.0,528.0,143.0,82.0,14.5,17.82,38.76,15.0,20.0,40.0,964.0,753.0,753.0,3.0,12.68,11.39,11.39,72.37,72.37,67.2
ARI,2022,ARI,ARI,Team Level,5on4,80,0.84,0.84,0.83,22586.0,273.88,37.14,25.62,54.56,8.74,166.05,85.89,33.32,37.14,33.32,279.0,99.0,117.0,495.0,42.0,26.0,3.0,56.0,5.0,141.0,108.0,237.0,336.0,19.0,36.0,176.0,27.0,9.0,63.0,256.0,77.0,45.0,6.67,9.2,21.27,7.0,12.0,23.0,495.0,378.0,378.0,7.0,6.63,4.66,4.37,39.4,39.4,35.98,57.77,6.97,3.43,8.55,1.89,19.25,38.91,6.74,6.97,6.74,67.0,12.0,18.0,97.0,5.0,2.0,1.0,5.0,1.0,10.0,56.0,62.0,74.0,6.0,12.0,178.0,58.0,48.0,16.0,49.0,21.0,9.0,1.64,2.59,2.74,2.0,1.0,2.0,97.0,79.0,79.0,12.0,0.78,0.94,0.94,6.8,6.8,6.71
SJS,2022,SJS,SJS,Team Level,other,79,0.45,0.48,0.47,8750.0,137.94,29.54,9.87,22.89,4.66,74.58,48.45,25.46,29.54,25.46,136.0,54.0,63.0,253.0,23.0,9.0,0.0,32.0,1.0,69.0,56.0,113.0,167.0,8.0,16.0,117.0,36.0,25.0,17.0,95.0,57.0,38.0,3.96,6.98,18.59,3.0,7.0,13.0,253.0,190.0,190.0,3.0,2.81,3.07,3.07,29.27,29.27,25.77,154.3,36.59,10.69,26.98,5.33,75.33,56.07,34.29,36.59,34.29,159.0,52.0,62.0,273.0,42.0,15.0,3.0,24.0,6.0,60.0,64.0,117.0,169.0,6.0,12.0,120.0,26.0,31.0,18.0,119.0,41.0,51.0,4.83,5.07,26.69,9.0,7.0,26.0,273.0,211.0,211.0,7.0,3.06,4.95,4.95,34.7,34.7,33.75
SJS,2022,SJS,SJS,Team Level,all,79,0.49,0.48,0.48,288284.0,2376.5,252.75,173.58,545.26,79.17,1299.62,922.62,239.47,251.97,238.7,2344.0,929.0,1184.0,4457.0,228.0,242.0,43.0,516.0,65.0,995.0,1227.0,2116.0,3045.0,272.0,615.0,2392.0,1818.0,731.0,666.0,2278.0,712.0,283.0,71.59,89.27,91.89,75.0,78.0,75.0,4414.44,3273.0,3249.27,308.0,38.33,53.34,53.4,237.67,236.47,228.49,2556.93,267.77,184.01,578.18,85.28,1409.99,1017.76,255.8,270.94,258.82,2522.0,1021.0,1258.0,4801.0,301.0,241.0,42.0,617.0,84.0,1080.0,1221.0,2221.0,3242.0,237.0,541.0,2291.0,1683.0,727.0,665.0,2506.0,752.0,285.0,77.94,91.95,97.87,102.0,114.0,85.0,4864.89,3543.0,3586.65,322.0,40.67,53.47,53.52,254.92,257.88,251.54
SJS,2022,SJS,SJS,Team Level,5on5,79,0.5,0.49,0.49,234610.0,1908.29,183.28,134.19,456.36,63.78,1039.78,755.63,176.41,182.51,175.64,1864.0,769.0,972.0,3605.0,166.0,190.0,34.0,422.0,55.0,794.0,1006.0,1698.0,2467.0,244.0,559.0,1879.0,1710.0,616.0,573.0,1876.0,559.0,198.0,59.12,70.15,54.01,64.0,63.0,39.0,3562.44,2633.0,2609.27,281.0,27.92,39.89,39.96,171.24,170.03,166.81,1984.67,181.93,136.73,466.71,66.06,1094.19,808.36,175.34,185.1,178.37,1965.0,789.0,986.0,3740.0,211.0,184.0,30.0,504.0,64.0,835.0,957.0,1754.0,2543.0,218.0,503.0,1775.0,1564.0,612.0,542.0,1999.0,578.0,177.0,62.11,70.99,48.82,84.0,92.0,35.0,3803.89,2754.0,2797.65,287.0,28.32,38.13,38.18,172.08,175.04,171.91
SJS,2022,SJS,SJS,Team Level,4on5,79,0.07,0.09,0.1,24434.0,40.9,3.08,1.86,5.63,1.23,12.96,30.24,3.07,3.08,3.07,50.0,5.0,12.0,67.0,4.0,1.0,0.0,10.0,1.0,4.0,35.0,46.0,51.0,6.0,12.0,180.0,52.0,70.0,24.0,43.0,10.0,2.0,1.09,1.31,0.68,3.0,0.0,1.0,67.0,55.0,55.0,19.0,0.44,0.01,0.01,3.5,3.5,3.49,357.65,42.32,33.39,75.63,11.97,221.0,111.69,39.4,42.32,39.4,333.0,163.0,194.0,690.0,38.0,39.0,8.0,78.0,11.0,177.0,153.0,295.0,458.0,10.0,20.0,241.0,28.0,24.0,78.0,334.0,115.0,47.0,9.26,13.71,19.36,8.0,10.0,20.0,690.0,496.0,496.0,6.0,8.55,9.76,9.76,41.12,41.12,38.91
SJS,2022,SJS,SJS,Team Level,5on4,79,0.84,0.84,0.83,20490.0,289.37,36.87,27.67,60.38,9.49,172.29,88.31,34.54,36.87,34.54,294.0,101.0,137.0,532.0,35.0,42.0,9.0,52.0,8.0,128.0,130.0,259.0,360.0,14.0,28.0,216.0,20.0,20.0,52.0,264.0,86.0,45.0,7.43,10.83,18.61,5.0,8.0,22.0,532.0,395.0,395.0,5.0,7.16,10.36,10.36,33.66,33.66,32.42,60.31,6.92,3.2,8.85,1.91,19.46,41.65,6.76,6.92,6.76,65.0,17.0,16.0,98.0,10.0,3.0,1.0,11.0,3.0,8.0,47.0,55.0,72.0,3.0,6.0,155.0,65.0,60.0,27.0,54.0,18.0,10.0,1.73,2.19,3.0,1.0,5.0,4.0,98.0,82.0,82.0,22.0,0.73,0.64,0.64,7.02,7.02,6.97
COL,2022,COL,COL,Team Level,other,78,0.51,0.57,0.56,9020.0,161.55,31.29,11.97,30.08,6.14,90.46,54.04,29.92,31.29,29.92,157.0,67.0,70.0,294.0,36.0,15.0,3.0,22.0,4.0,93.0,54.0,121.0,188.0,5.0,10.0,132.0,32.0,9.0,18.0,127.0,53.0,44.0,4.79,6.53,19.97,2.0,10.0,24.0,294.0,224.0,224.0,4.0,3.54,4.33,4.33,30.51,30.51,29.25,129.26,29.78,9.54,22.64,4.59,66.3,43.15,26.97,29.78,26.97,124.0,52.0,50.0,226.0,24.0,14.0,2.0,21.0,12.0,51.0,54.0,100.0,152.0,5.0,10.0,118.0,27.0,10.0,16.0,81.0,49.0,46.0,2.99,6.05,20.74,6.0,4.0,14.0,226.0,176.0,176.0,4.0,2.79,5.14,5.14,27.42,27.42,26.28
